MASA ESTATURA GENERO ESTRATO FUMA
40 140 MUJER 3 NO
65 170 HOMBRE 4 NO
46 158 MUJER 2 NO
52 157.4 HOMBRE 2 NO
57 172 HOMBRE 2 NO
60 178 HOMBRE 3 NO
60 160 MUJER 5 NO
64 158 MUJER 2 NO
64 170 MUJER 2 NO
65 182 HOMBRE 2 NO
65 163 HOMBRE 3 NO
66 174 HOMBRE 2 SI
69 180 HOMBRE 2 NO
70 185 HOMBRE 4 SI
88 180 HOMBRE 3 SI
55 176 HOMBRE 1 NO
80 184 HOMBRE 4 NO
68 179 HOMBRE 1 SI
47 157 MUJER 2 NO
65 168 HOMBRE 4 NO
78 170 HOMBRE 2 NO
60 176 HOMBRE 2 NO
71 182 HOMBRE 3 NO
68 180 HOMBRE 4 NO
55 169 HOMBRE 4 NO
71 177 HOMBRE 2 NO
47 157 MUJER 2 NO
48 162 HOMBRE 1 NO
54 165 HOMBRE 3 NO
55 163 MUJER 3 NO
56 173 HOMBRE 3 NO
70 167 HOMBRE 2 NO
70 164 MUJER 2 NO
65.5 164 MUJER 3 NO
81 181 HOMBRE 3 NO
44 153 MUJER 4 NO
57 178 HOMBRE 4 NO
60 170 HOMBRE 3 NO
60 150 MUJER 3 NO
66.5 167 MUJER 2 NO
70 175 HOMBRE 2 NO
80 167 HOMBRE 2 NO
90 177 HOMBRE 4 NO
99 182 HOMBRE 3 SI
68 177 MUJER 2 NO
52 154 MUJER 2 NO
62 183 HOMBRE 3 NO
83 180 HOMBRE 2 SI
60 158 MUJER 4 NO
60 172 HOMBRE 2 NO
74 171 HOMBRE 1 NO
78 182 HOMBRE 3 NO
43 152 MUJER 3 NO
54 160 MUJER 3 NO
60 175 HOMBRE 3 NO
68 166 HOMBRE 3 NO
88 183 HOMBRE 1 NO
54 160 MUJER 2 NO
68 177 HOMBRE 3 NO
62 172 HOMBRE 4 NO
48 153 MUJER 2 NO
52.1 170 MUJER 2 NO
54 170 MUJER 2 NO
55 160 MUJER 2 NO
45.4 160 MUJER 2 NO
46 150 MUJER 3 NO
47.8 162 MUJER 1 NO
50 153 MUJER 2 NO
60 170 MUJER 3 NO
62 157 MUJER 2 NO
64 170 MUJER 2 NO
70 185 HOMBRE 3 NO
78 179 HOMBRE 3 NO
80 180 HOMBRE 2 NO
65.6 178 HOMBRE 3 NO
70 162 MUJER 2 NO
53 163 MUJER 3 NO
72 179 HOMBRE 2 NO
57 154 MUJER 2 NO
65 170 MUJER 3 NO
84 178 HOMBRE 3 NO
52 163 MUJER 3 NO
63 161 MUJER 3 NO
50 165 HOMBRE 3 SI
54 161 MUJER 2 NO
62 170 HOMBRE 2 NO
65 165 HOMBRE 3 NO
68 167 HOMBRE 3 NO
68 169 HOMBRE 3 SI
70 170 HOMBRE 1 NO
64 167 HOMBRE 2 SI
66.8 177 HOMBRE 2 NO
63 173 HOMBRE 2 NO
81 182 HOMBRE 2 NO
50 158 MUJER 2 NO
85 162 MUJER 1 NO
59 160 MUJER 5 NO
62 167 HOMBRE 2 NO
90 174 HOMBRE 1 NO
40 154 MUJER 4 NO
45 156 MUJER 4 NO
65 159 MUJER 5 NO
56.2 170 HOMBRE 2 NO
70 172 HOMBRE 6 NO
51 163 MUJER 5 SI
74 187 HOMBRE 2 NO
88 180 HOMBRE 3 NO
67.2 182 HOMBRE 2 SI
59.3 172 HOMBRE 2 NO
60 185 HOMBRE 2 NO
81 183 HOMBRE 2 NO
85 178 HOMBRE 6 NO
63 170 MUJER 3 NO
105 191 HOMBRE 1 NO
79 168 HOMBRE 3 SI
63 178 MUJER 2 NO
76 181 HOMBRE 2 NO
79 162 HOMBRE 3 NO
75 172 MUJER 6 NO
72.6 172 HOMBRE 3 NO
51 172 HOMBRE 2 NO
61 163 HOMBRE 1 SI
61 163.5 HOMBRE 1 SI
60 163 MUJER 3 NO
64 166 MUJER 4 SI
77 173 HOMBRE 3 NO
57 163 HOMBRE 1 SI
65 160 MUJER 6 NO
77 173 HOMBRE 3 NO
62 174 HOMBRE 3 NO
73 169 MUJER 4 NO
74 173 HOMBRE 3 NO
76 188 HOMBRE 1 NO
68 170 HOMBRE 3 NO
70 173 HOMBRE 3 SI
80 170 HOMBRE 2 NO
90 171 HOMBRE 1 SI
